,DATE,ANDAMAN&NICOBARISLANDS,ARUNACHALPRADESH,ASSAM,BIHAR,CHANDIGARH,CHHATTISGARH,DADRA&NAGARHAVELI,DAMAN&DIU,DELHI,GOA,GUJARAT,HARYANA,HIMACHALPRADESH,JHARKHAND,KARNATAKA,KERALA,LAKSHADWEEP,MADHYAPRADESH,MAHARASHTRA,MANIPUR,MEGHALAYA,MIZORAM,NAGALAND,ODISHA,PUDUCHERRY,PUNJAB,RAJASTHAN,SIKKIM,TAMILNADU,TRIPURA,UTTARPRADESH,UTTARAKHAND,WESTBENGAL,ANDHRAPRADESH,JAMMUANDKASHMIR
0,2020-03-15,0,0,0,0,0,0,0,0,-100.0,0,0,-100.0,0,0,-100.0,-73.6842105263158,0,0,28.571428571428573,0,0,0,0,0,0,-100.0,-66.66666666666667,0,-100.0,0,-91.66666666666667,0,0,0.0,-100.0
1,2020-03-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-40.0,0,0,-66.66666666666667,0,0,0,0,0,0,0,-100.0,0,0,0,-100.0,0,0,-50.0,0
2,2020-03-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,-100.0,0,0,-50.0,0,0,0,0,-100.0,-100.0,0,0,0,0,0,0,-100.0,0,0.0,-100.0
3,2020-03-18,0,0,0,0,0,0,0,0,100.0,0,0,0.0,0,0,150.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,-100.0,700.0,0
4,2020-03-19,0,0,0,0,0,0,0,0,100.0,0,0,0.0,0,0,-80.0,0,0,0,33.333333333333336,0,0,0,0,-100.0,0,-100.0,-33.333333333333336,0,0.0,0,50.0,0.0,0,-37.5,-100.0
5,2020-03-20,0,0,0,0,300.0,-100.0,0,0,50.0,0,150.0,100.0,0,0,-100.0,1100.0,0,0,0.0,0,0,0,0,0,0,0,300.0,0,-100.0,0,33.333333333333336,-100.0,0,-40.0,0
6,2020-03-21,0,0,0,0,-100.0,0,0,0,16.666666666666668,0,40.0,0.0,-100.0,0,0,0.0,0,-100.0,200.0,0,0,0,0,0,0,900.0,-12.5,0,0,0,0.0,0,100.0,33.333333333333336,50.0
7,2020-03-22,0,0,0,0,0,0,0,0,-100.0,0,-42.857142857142854,-100.0,0,0,20.0,25.0,0,0,-16.666666666666668,0,0,0,0,0,0,-20.0,-42.857142857142854,0,0.0,0,-50.0,0,50.0,75.0,-100.0
8,2020-03-23,0,0,0,-50.0,0.0,0,0,0,0,0,200.0,0,0,0,16.666666666666668,86.66666666666667,0,-100.0,130.0,0,0,0,0,0,0,-75.0,0.0,0,0.0,0,0.0,0,-100.0,0.0,0
9,2020-03-24,0,0,0,-100.0,-100.0,0,0,0,-100.0,0,-66.66666666666667,-71.42857142857143,-100.0,0,14.285714285714286,-50.0,0,0,-56.52173913043478,0,0,0,0,0,0,200.0,-100.0,0,100.0,0,50.0,-100.0,0,-28.571428571428573,0
