Id,Label,timeset,longitude,latitude,background_map_node,lat,lng,modularity_class
0,PUDUCHERRY,,79.8083,11.9416,,,,3
1,CHANDIGARH,,76.7794,30.7333,,,,0
2,DAMAN &#38; DIU,,73.0169,20.227,,,,2
3,HARYANA,,76.6066,28.8955,,,,0
4,UTTAR PRADESH,,80.9462,26.8467,,,,0
5,ARUNACHAL PRADESH,,93.6053,27.0844,,,,2
6,DADRA &#38; NAGAR HAVELI,,73.0169,20.1809,,,,2
7,GOA,,74.124,15.2993,,,,3
8,LAKSHADWEEP,,72.64,10.57,,,,3
9,CHHATTISGARH,,81.6296,21.2514,,,,2
10,MANIPUR,,93.9368,24.817,,,,2
11,GUJARAT,,72.6369,23.2156,,,,1
12,MIZORAM,,92.717636,23.727106,,,,2
13,TRIPURA,,91.2868,23.8315,,,,2
14,SIKKIM,,88.5122,27.533,,,,1
15,ANDAMAN &#38; NICOBAR ISLANDS,,92.6586,11.7401,,,,3
16,MEGHALAYA,,91.8933,25.5788,,,,2
17,ASSAM,,91.7898,26.1433,,,,2
18,JHARKHAND,,85.3096,23.3441,,,,2
19,ODISHA,,85.8245,20.2961,,,,2
20,UTTARAKHAND,,78.0322,30.3165,,,,0
21,KARNATAKA,,77.5946,12.9716,,,,3
22,NAGALAND,,94.1086,25.6751,,,,2
23,BIHAR,,85.1376,25.5941,,,,2
24,JAMMU &#38; KASHMIR,,74.7973,34.0837,,,,0
25,PUNJAB,,75.8573,30.901,,,,0
26,ANDHRA PRADESH,,83.2185,17.6868,,,,3
27,MAHARASHTRA,,72.8777,19.076,,,,1
28,KERALA,,76.9366,8.5241,,,,3
29,HIMACHAL PRADESH,,77.1734,31.1048,,,,0
30,RAJASTHAN,,75.7873,26.9124,,,,1
31,NCT OF DELHI,,77.1025,28.7041,,,,1
32,TAMIL NADU,,80.2707,13.0827,,,,3
33,WEST BENGAL,,88.3639,22.5726,,,,1
34,MADHYA PRADESH,,77.4126,23.2599,,,,1
bckm_12007,,,,,true,20.038054,86.283602,0
bckm_12006,,,,,true,20.045,86.25139,0
bckm_12005,,,,,true,20.050001,86.276094,0
bckm_12004,,,,,true,20.038054,86.283602,0
bckm_12003,,,,,true,35.445826,78.075548,0
bckm_12002,,,,,true,35.501329,77.823931,0
bckm_12001,,,,,true,35.099161,77.042482,0
bckm_12000,,,,,true,34.658884,76.869982,0
bckm_11999,,,,,true,34.646387,73.941652,0
bckm_11998,,,,,true,34.068605,73.913317,0
bckm_11997,,,,,true,33.977488,74.295824,0
bckm_11996,,,,,true,33.743883,73.990541,0
bckm_11995,,,,,true,33.188601,74.01639,0
bckm_11994,,,,,true,32.214243,75.381289,0
bckm_11993,,,,,true,31.877119,74.605326,0
bckm_11992,,,,,true,31.053961,74.69459,0
bckm_11991,,,,,true,30.3901,73.872499,0
bckm_11990,,,,,true,30.136003,73.933405,0
bckm_11989,,,,,true,29.942774,73.397493,0
bckm_11988,,,,,true,27.961943,71.896944,0
bckm_11987,,,,,true,27.706385,70.829439,0
bckm_11986,,,,,true,28.020834,70.368319,0
bckm_11985,,,,,true,27.17333,69.580278,0
bckm_11984,,,,,true,26.754446,69.506105,0
bckm_11983,,,,,true,26.536112,70.183596,0
bckm_11982,,,,,true,25.982775,70.088045,0
bckm_11981,,,,,true,25.698332,70.666384,0
bckm_11980,,,,,true,24.416388,71.105822,0
bckm_11979,,,,,true,24.169718,70.014711,0
bckm_11978,,,,,true,24.332777,68.783052,0
bckm_11977,,,,,true,23.969995,68.74721,0
bckm_11976,,,,,true,23.766687,68.197802,0
bckm_11975,,,,,true,23.580832,68.321383,0
bckm_11974,,,,,true,23.844164,68.741365,0
bckm_11973,,,,,true,23.429998,68.433046,0
bckm_11972,,,,,true,22.840277,69.215822,0
bckm_11971,,,,,true,23.102221,70.506945,0
bckm_11970,,,,,true,22.548334,70.165545,0
bckm_11969,,,,,true,22.294165,68.944429,0
bckm_11968,,,,,true,20.697496,70.81888,0
bckm_11967,,,,,true,21.201941,72.110537,0
bckm_11966,,,,,true,22.283888,72.151934,0
bckm_11965,,,,,true,22.267778,72.919146,0
bckm_11964,,,,,true,21.976664,72.500826,0
bckm_11963,,,,,true,21.986383,72.734423,0
bckm_11962,,,,,true,21.663885,72.541658,0
bckm_11961,,,,,true,21.753611,73.130816,0
bckm_11960,,,,,true,21.378054,72.56415,0
bckm_11959,,,,,true,20.774721,72.93442,0
bckm_11958,,,,,true,19.870832,72.664156,0
bckm_11957,,,,,true,19.217257,73.047228,0
bckm_11956,,,,,true,19.312498,72.78055,0
bckm_11955,,,,,true,18.943052,72.769991,0
bckm_11954,,,,,true,19.011946,73.055544,0
bckm_11953,,,,,true,18.660555,72.853868,0
bckm_11952,,,,,true,16.055834,73.447756,0
bckm_11951,,,,,true,14.483332,74.411928,0
bckm_11950,,,,,true,12.864721,74.810259,0
bckm_11949,,,,,true,11.435278,75.688875,0
bckm_11948,,,,,true,8.876944,76.575823,0
bckm_11947,,,,,true,8.071943,77.536104,0
bckm_11946,,,,,true,8.364164,78.060534,0
bckm_11945,,,,,true,9.08972,78.396654,0
bckm_11944,,,,,true,9.15,79.451387,0
bckm_11943,,,,,true,9.479719,78.908037,0
bckm_11942,,,,,true,10.280832,79.324999,0
bckm_11941,,,,,true,10.288889,79.859713,0
bckm_11940,,,,,true,11.64889,79.763048,0
bckm_11939,,,,,true,13.334166,80.349718,0
bckm_11938,,,,,true,13.617777,80.049425,0
bckm_11937,,,,,true,13.439165,80.313036,0
bckm_11936,,,,,true,15.048887,80.048876,0
bckm_11935,,,,,true,15.699167,80.279436,0
bckm_11934,,,,,true,15.751944,80.825274,0
bckm_11933,,,,,true,16.02611,80.891939,0
bckm_11932,,,,,true,15.775557,81.017275,0
bckm_11931,,,,,true,16.363333,81.313372,0
bckm_11930,,,,,true,16.583055,82.301699,0
bckm_11929,,,,,true,17.100832,82.364428,0
bckm_11928,,,,,true,18.292223,84.106371,0
bckm_11927,,,,,true,19.887011,85.434885,0
bckm_11926,,,,,true,19.660276,85.451387,0
bckm_11925,,,,,true,19.982775,86.420259,0
bckm_11924,,,,,true,20.674829,87.02556,0
bckm_11923,,,,,true,21.381941,86.96332,0
bckm_11922,,,,,true,21.698885,87.796373,0
bckm_11921,,,,,true,22.091665,88.168047,0
bckm_11920,,,,,true,22.421663,87.907763,0
bckm_11919,,,,,true,22.155275,88.199419,0
bckm_11918,,,,,true,21.548609,88.254168,0
bckm_11917,,,,,true,21.950274,88.496096,0
bckm_11916,,,,,true,21.559999,88.572222,0
bckm_11915,,,,,true,21.749163,88.628588,0
bckm_11914,,,,,true,21.813334,88.556932,0
