MAHARASHTRA,MAHARASHTRA,15996425
UTTAR PRADESH,MAHARASHTRA,1149726
KARNATAKA,MAHARASHTRA,478359
MADHYA PRADESH,MAHARASHTRA,333821
BIHAR,MAHARASHTRA,310656
GUJARAT,MAHARASHTRA,279594
RAJASTHAN,MAHARASHTRA,225488
WEST BENGAL,MAHARASHTRA,175267
ANDHRA PRADESH,MAHARASHTRA,162755
CHHATTISGARH,MAHARASHTRA,76571
TAMIL NADU,MAHARASHTRA,72703
KERALA,MAHARASHTRA,68815
ODISHA,MAHARASHTRA,67971
JHARKHAND,MAHARASHTRA,62040
NCT OF DELHI,MAHARASHTRA,43565
PUNJAB,MAHARASHTRA,27388
HARYANA,MAHARASHTRA,23917
ASSAM,MAHARASHTRA,20192
GOA,MAHARASHTRA,19979
UTTARAKHAND,MAHARASHTRA,19814
JAMMU & KASHMIR,MAHARASHTRA,10712
HIMACHAL PRADESH,MAHARASHTRA,6211
MANIPUR,MAHARASHTRA,2063
CHANDIGARH,MAHARASHTRA,2051
ANDAMAN & NICOBAR ISLANDS,MAHARASHTRA,1567
DADRA & NAGAR HAVELI,MAHARASHTRA,1165
MEGHALAYA,MAHARASHTRA,1149
TRIPURA,MAHARASHTRA,1007
NAGALAND,MAHARASHTRA,856
DAMAN & DIU,MAHARASHTRA,855
PUDUCHERRY,MAHARASHTRA,658
ARUNACHAL PRADESH,MAHARASHTRA,530
SIKKIM,MAHARASHTRA,360
MIZORAM,MAHARASHTRA,344
LAKSHADWEEP,MAHARASHTRA,206
