,From,To,Per run_Weight,Date_S,Date_E,Week_Count,Week_String
1,KERALA,TAMIL NADU,259.0777631662228,"Mon Jun 21, 2021","Thu Jul 01, 2021",  M          ,1
2,KERALA,ANDHRA PRADESH,273.09444191648396,"Mon Jun 21, 2021","Thu Jul 01, 2021",  M          ,1
3,KERALA,MAHARASHTRA,507.4926229551208,"Mon Jun 21, 2021","Thu Jul 01, 2021",  M          ,1
4,KERALA,MADHYA PRADESH,195.61144853282656,"Mon Jun 21, 2021","Thu Jul 01, 2021",  M          ,1
5,KERALA,UTTAR PRADESH,354.72372342934597,"Mon Jun 21, 2021","Thu Jul 01, 2021",  M          ,1
6,TAMIL NADU,ANDHRA PRADESH,53.160654459549114,"Mon Jun 21, 2021","Thu Jul 01, 2021",  M          ,1
7,TAMIL NADU,MAHARASHTRA,98.7886819678954,"Mon Jun 21, 2021","Thu Jul 01, 2021",  M          ,1
8,TAMIL NADU,MADHYA PRADESH,38.07778932009745,"Mon Jun 21, 2021","Thu Jul 01, 2021",  M          ,1
9,TAMIL NADU,UTTAR PRADESH,69.05063741868084,"Mon Jun 21, 2021","Thu Jul 01, 2021",  M          ,1
10,ANDHRA PRADESH,MAHARASHTRA,156.52080178635697,"Mon Jun 21, 2021","Thu Jul 01, 2021",  M          ,1
11,ANDHRA PRADESH,MADHYA PRADESH,60.330454824475936,"Mon Jun 21, 2021","Thu Jul 01, 2021",  M          ,1
12,ANDHRA PRADESH,UTTAR PRADESH,109.40383976520013,"Mon Jun 21, 2021","Thu Jul 01, 2021",  M          ,1
13,MAHARASHTRA,MADHYA PRADESH,271.1308174349584,"Mon Jun 21, 2021","Thu Jul 01, 2021",  M          ,1
14,MAHARASHTRA,UTTAR PRADESH,491.67128927441473,"Mon Jun 21, 2021","Thu Jul 01, 2021",  M          ,1
15,MADHYA PRADESH,UTTAR PRADESH,565.1505101123583,"Mon Jun 21, 2021","Thu Jul 01, 2021",  M          ,1
16,HARYANA,CHANDIGARH,111.90740881812127,"Mon Jun 21, 2021",,S M T W T F S,7
17,HARYANA,DELHI NCT,1116.0925911818788,"Mon Jun 21, 2021",,S M T W T F S,7
18,CHANDIGARH,DELHI NCT,111.90740881812127,"Mon Jun 21, 2021",,S M T W T F S,7
19,DELHI NCT,HARYANA,1145.6121898222968,"Mon Jun 21, 2021",,S M T W T F S,7
20,DELHI NCT,CHANDIGARH,82.38781017770307,"Mon Jun 21, 2021",,S M T W T F S,7
21,HARYANA,CHANDIGARH,1145.6121898222968,"Mon Jun 21, 2021",,S M T W T F S,7
